time,X,Y,Z,E1,E2,S_LP,S_RS,S_WS,R_LP,R_RS,R_WS,MPT,MPA,MPW,LOAD,CONTACT,BEAD_NUMBER,LASER_ON
02_24_14_36_59_392,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.34616,6,False
02_24_14_36_59_401,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41839,0.41842,6,False
02_24_14_36_59_409,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41839,0.41842,6,False
02_24_14_36_59_429,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.37971,6,False
02_24_14_36_59_436,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.45842,6,False
02_24_14_36_59_455,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.35003,6,False
02_24_14_36_59_566,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.42745,6,False
02_24_14_36_59_589,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.42487,6,False
02_24_14_36_59_608,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.37713,6,False
02_24_14_36_59_623,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.41064,0.44939,6,False
02_24_14_36_59_631,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.41713,6,False
02_24_14_36_59_642,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41839,0.34616,6,False
02_24_14_36_59_651,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.44939,6,False
02_24_14_36_59_663,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.39907,6,False
